City,Latitude,Lng,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
Káto Mazaráki,38.07,21.65,20,GR,1603225924,87,60.8,7.0
Puerto Ayora,-0.74,-90.35,75,EC,1603225925,69,77.0,11.41
Gonbad-e Kāvūs,37.25,55.17,0,IR,1603225926,52,64.81,4.7
Coquimbo,-29.95,-71.34,1,CL,1603225867,72,60.8,16.11
George Town,5.41,100.34,20,MY,1603225928,88,80.6,3.36
Albany,42.6,-73.97,100,US,1603225759,77,66.0,1.12
Yar-Sale,66.83,70.83,100,RU,1603225931,98,24.91,3.69
Anadyr,64.75,177.48,75,RU,1603225932,86,41.0,17.9
Ushuaia,-54.8,-68.3,75,AR,1603225933,62,44.6,14.99
Husavik,66.04,-17.34,95,IS,1603225934,85,24.8,4.7
Yenagoa,4.92,6.26,78,NG,1603225935,92,77.04,4.79
Pangnirtung,66.15,-65.71,90,CA,1603225936,100,26.6,2.24
Lugazi,0.38,32.92,20,UG,1603225937,78,73.4,5.82
Bredasdorp,-34.53,20.04,0,ZA,1603225938,81,50.0,2.24
Busselton,-33.65,115.33,0,AU,1603225940,90,53.01,7.0
Fredericton,45.95,-66.67,90,CA,1603225812,71,57.2,6.93
Clyde River,70.47,-68.59,90,CA,1603225942,74,30.2,16.11
Fortuna,40.6,-124.16,1,US,1603225943,67,71.01,14.99
Kismayo,-0.36,42.55,0,SO,1603225944,80,79.27,13.53
Hermanus,-34.42,19.23,0,ZA,1603225827,86,50.0,3.29
Le Vauclin,14.55,-60.84,84,MQ,1603225946,63,91.4,5.82
Lorengau,-2.02,147.27,96,PG,1603225947,67,82.29,1.19
Virginia Beach,36.85,-75.98,90,US,1603225948,83,73.99,5.82
Qaanaaq,77.48,-69.36,0,GL,1603225949,83,20.98,6.51
Srednekolymsk,67.45,153.68,94,RU,1603225942,96,15.76,5.35
Naze,28.37,129.48,75,JP,1603225951,88,75.2,12.75
Shelburne,44.08,-80.2,90,CA,1603225952,75,48.99,4.7
Maniitsoq,65.42,-52.9,100,GL,1603225954,95,33.01,18.43
Hobart,-42.88,147.33,75,AU,1603225807,87,52.0,2.77
Saskylakh,71.92,114.08,99,RU,1603225956,97,20.84,7.76
Taitung City,22.76,121.14,96,TW,1603225957,71,79.02,13.73
Powell,40.16,-83.08,90,US,1603225958,93,54.0,5.82
Caravelas,-17.71,-39.25,87,BR,1603225959,91,73.96,6.24
Dingle,11.0,122.67,95,PH,1603225961,91,76.12,8.3
Torbay,47.67,-52.73,75,CA,1603225962,76,57.2,16.11
Keetmanshoop,-26.58,18.13,0,NA,1603225963,25,65.19,12.37
Carutapera,-1.2,-46.02,19,BR,1603225964,72,81.28,8.99
Kapaa,22.08,-159.32,75,US,1603225934,88,77.0,10.29
Bilma,18.69,12.92,0,NE,1603225966,15,81.36,4.79
Jamestown,42.1,-79.24,90,US,1603225967,93,48.99,6.93
Leh,34.17,77.58,0,IN,1603225968,54,35.38,1.48
Fengzhen,40.44,113.15,0,CN,1603225970,79,30.88,8.19
Fort Walton Beach,30.41,-86.62,40,US,1603225971,58,87.8,3.36
Sitka,57.05,-135.33,20,US,1603225972,81,44.6,3.36
Saint-Philippe,-21.36,55.77,18,RE,1603225973,73,71.6,6.93
Alofi,-19.06,-169.92,90,NU,1603225959,83,75.2,17.22
Atuona,-9.8,-139.03,4,PF,1603225975,73,77.77,18.05
Rikitea,-23.12,-134.97,0,PF,1603225976,79,73.51,14.97
Mataura,-46.19,168.86,45,NZ,1603225977,79,48.99,4.0
Talnakh,69.49,88.4,90,RU,1603225978,92,5.0,2.24
Carnarvon,-24.87,113.63,38,AU,1603225957,82,66.2,14.99
Nalhāti,24.3,87.82,0,IN,1603225981,64,76.17,5.06
Codrington,-38.27,141.97,28,AU,1603225982,88,47.61,2.91
Atambua,-9.11,124.89,100,ID,1603225983,81,73.56,1.99
Matara,5.95,80.54,13,LK,1603225984,88,77.86,9.64
Port Alfred,-33.59,26.89,0,ZA,1603225985,71,58.19,8.84
Härnösand,62.63,17.94,100,SE,1603225986,93,37.4,10.29
Ilulissat,69.22,-51.1,75,GL,1603225977,74,37.4,10.29
Alta Gracia,-31.65,-64.43,100,AR,1603225988,94,61.0,11.01
Punta Arenas,-53.15,-70.92,75,CL,1603225989,46,50.0,13.87
Ust'-Uda,54.17,103.03,98,RU,1603225991,96,28.0,4.85
Nikolskoye,59.7,30.79,40,RU,1603225937,86,35.01,2.24
Ribeira Grande,38.52,-28.7,40,PT,1603225993,59,62.6,5.82
Ribera,37.5,13.26,0,IT,1603225994,67,59.0,4.74
Roald,62.58,6.13,90,NO,1603225995,86,41.0,12.75
Tasiilaq,65.61,-37.64,100,GL,1603225996,93,32.0,21.92
Khatanga,71.97,102.5,83,RU,1603225997,95,5.88,8.23
Lagoa,39.05,-27.98,49,PT,1603225998,67,63.41,28.83
Yeppoon,-23.13,150.73,90,AU,1603226000,73,73.4,6.93
Moshny,49.51,31.75,34,UA,1603226001,78,42.66,3.83
‘Āhuimanu,21.44,-157.84,40,US,1603226002,62,84.2,12.75
Kamuli,0.95,33.12,75,UG,1603226003,98,64.45,2.19
